1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000232,0.999958,1.000955,0.999906,1.000777,0.999856
1.001094,0.999804,1.004757,0.999530,1.003093,0.999427
1.003113,0.999441,1.013824,0.998621,1.007896,0.998529
1.006909,0.998754,1.030503,0.996898,1.016650,0.996870
1.013156,0.997612,1.056392,0.994085,1.031508,0.993980
1.022527,0.995868,1.091780,0.989944,1.055113,0.989189
0.875430,1.353833,1.593273,0.822748,0.686580,1.578670
0.776080,1.492675,1.682811,0.705002,0.526576,1.669167
0.697088,1.565191,1.720569,0.616483,0.431239,1.705389
0.633354,1.609388,1.741116,0.548474,0.373224,1.723386
0.581549,1.638780,1.753773,0.495724,0.340835,1.732387
0.539366,1.659393,1.762109,0.454819,0.329124,1.735479
0.505152,1.674317,1.767782,0.423448,0.337266,1.733339
0.477690,1.685297,1.771658,0.399998,0.368330,1.724791
0.456065,1.693384,1.774230,0.383309,0.431087,1.705439
0.439558,1.699255,1.775801,0.372462,0.545716,1.660641
0.473802,1.686785,1.768318,0.417893,1.390921,0.876536
0.509530,1.672488,1.762468,0.449419,1.650554,0.611124
0.549733,1.654569,1.757077,0.475886,1.701317,0.492141
0.596094,1.631023,1.751766,0.499866,1.723797,0.421717
0.649955,1.598834,1.746553,0.521611,1.736216,0.376192
0.712637,1.552713,1.741619,0.540730,1.743646,0.346225
0.785244,1.482544,1.737283,0.556436,1.748063,0.327316
0.867831,1.367244,1.734052,0.567472,1.750355,0.317161
0.956932,1.160687,1.732720,0.571691,1.750862,0.314881
1.153739,0.967083,1.734565,0.565016,1.749435,0.321268
1.310766,0.916789,1.738733,0.549757,1.746827,0.332695
1.406222,0.871682,1.742528,0.535045,1.744972,0.340640
1.470268,0.831083,1.746009,0.520802,1.743892,0.345196
1.516121,0.794435,1.749232,0.506922,1.743519,0.346755
1.550496,0.761263,1.752242,0.493311,1.743735,0.345850
1.577168,0.731163,1.755070,0.479907,1.744406,0.343034
1.598423,0.703784,1.757736,0.466689,1.745405,0.338797
1.615725,0.678825,1.760251,0.453661,1.746629,0.333549
1.630055,0.656028,1.762623,0.440848,1.747996,0.327611
1.642090,0.635171,1.764853,0.428287,1.749443,0.321231
1.652313,0.616070,1.766947,0.416017,1.750924,0.314602
1.661079,0.598567,1.768908,0.404076,1.752404,0.307874
1.668650,0.582531,1.770738,0.392502,1.753857,0.301165
1.675226,0.567850,1.772443,0.381327,1.755264,0.294569
